subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
10	58	The fish eats the fisherman.wav	1	declarative	2	1	41.000000	1494.000000	1453.000000	1.698474	165.188449	96.000000	32.000000	0.367370	0.977419	-6.332714	0.872531	35.000000	12.000000	23.000000
10	60	The baby touches the hamster.wav	1	declarative	1	2	118.000000	1805.000000	1687.000000	1.541990	122.081028	96.000000	37.000000	0.237526	0.753528	-7.510154	0.931584	30.000000	11.000000	19.000000
10	61	The seagull chases the tourist.wav	1	declarative	2	1	181.000000	1649.000000	1468.000000	1.669125	141.497314	94.000000	24.000000	0.311621	0.758758	5.810404	0.864932	12.000000	3.000000	9.000000
10	64	The turtle was carried by the sheep.wav	2	passive	1	2	118.000000	1789.000000	1671.000000	1.579048	107.494535	96.000000	23.000000	0.278323	0.902275	4.370660	1.041575	15.000000	3.000000	12.000000
10	69	The chef was suprised by the mailman.wav	2	passive	1	2	212.000000	2399.000000	2187.000000	1.627596	148.616638	96.000000	21.000000	0.305978	0.902824	7.716957	0.884512	16.000000	1.000000	14.000000
10	70	The nurse hugs the surgeon.wav	1	declarative	2	1	197.000000	1478.000000	1281.000000	1.629674	183.113563	96.000000	33.000000	0.377180	0.806278	-4.540955	0.714106	16.000000	4.000000	12.000000
10	72	The tiger lifts the bear.wav	1	declarative	1	2	134.000000	1399.000000	1265.000000	1.588962	143.460800	96.000000	29.000000	0.263411	0.731789	5.498630	0.871658	10.000000	4.000000	6.000000
10	73	The zebra kicks the horse.wav	1	declarative	1	2	87.000000	1228.000000	1141.000000	1.668344	141.727307	95.000000	28.000000	0.261425	0.683143	-5.387291	0.880729	21.000000	6.000000	15.000000
10	74	The boxer is punched by the kangeroo.wav	2	passive	2	1	40.000000	1961.000000	1921.000000	1.910243	182.935321	96.000000	17.000000	0.427174	0.976308	2.835736	0.995567	7.000000	2.000000	5.000000
10	75	The duck was led by the penguin.wav	2	passive	2	2	71.000000	2759.000000	2688.000000	1.844061	54.290480	96.000000	25.000000	0.311512	0.913468	-2.401532	1.572609	8.000000	2.000000	6.000000
10	76	The husband was fed by his wife.wav	2	passive	1	2	243.000000	1883.000000	1640.000000	1.589069	183.652219	96.000000	33.000000	0.359402	0.767181	1.779225	0.670808	3.000000	3.000000	0.000000
10	77	The daughter kisses the king.wav	1	declarative	1	2	165.000000	1555.000000	1390.000000	1.614623	126.245712	96.000000	30.000000	0.357971	0.740970	-1.722158	0.983394	15.000000	5.000000	10.000000
10	82	The skier was crushed by the snowboard.wav	2	passive	1	2	118.000000	2446.000000	2328.000000	1.792920	72.820497	96.000000	21.000000	0.284641	0.882330	-4.302263	1.428817	16.000000	3.000000	13.000000
10	85	The robber shoots the policeman.wav	1	declarative	2	1	150.000000	1634.000000	1484.000000	1.609516	195.197644	96.000000	38.000000	0.377116	0.755231	2.781324	0.633528	23.000000	10.000000	13.000000
11	11	The boy is pushed by his sister.wav	2	passive	1	2	165.000000	1930.000000	1765.000000	1.860653	85.276908	85.000000	19.000000	0.351650	0.926986	7.175514	0.960787	19.000000	1.000000	18.000000
11	14	The chicken was scared by the crow.wav	2	passive	2	1	55.000000	2117.000000	2062.000000	1.831981	73.884141	87.000000	28.000000	0.308461	0.866500	3.049141	1.023886	14.000000	1.000000	13.000000
