subject	trial	stimfile	condition	code	response	distractor	initTime	rt	DV_inmot	DV_dist	DV_velmax	DV_velmax_start	DV_acc_flips	DV_ADavg	DV_AUC	DV_initang	DV_dist_maxveloc	DV_ang_tot	DV_angflp_lat	DV_angflp_mot
2224	47	The bus hits the motorcycle.wav	1	declarative	2	1	268.000000	3570.000000	3302.000000	2.165819	191.887162	91.000000	12.000000	0.503930	1.007170	-44.374655	1.181718	17.000000	2.000000	15.000000
2224	46	The dog was bitten by the snake.wav	2	passive	1	2	343.000000	2972.000000	2629.000000	2.261729	116.154347	93.000000	30.000000	0.243201	0.922195	-11.605361	1.465302	14.000000	2.000000	11.000000
2224	58	The kid tickles the mom.wav	1	declarative	1	2	95.000000	2285.000000	2190.000000	2.030591	160.768547	96.000000	3.000000	0.446243	1.011593	-1.822336	1.226749	4.000000	1.000000	3.000000
2224	23	The seagull chases the tourist.wav	1	declarative	2	1	389.000000	4944.000000	4555.000000	2.052904	179.080079	31.000000	17.000000	0.463843	1.233904	-27.525459	0.152066	7.000000	5.000000	2.000000
2224	52	The panda is colored by the monkey.wav	2	passive	2	1	98.000000	3010.000000	2912.000000	2.052461	180.778046	96.000000	5.000000	0.429771	0.949451	-7.970150	1.148571	7.000000	2.000000	5.000000
2224	19	The chicken was scared by the crow.wav	2	passive	2	1	253.000000	4679.000000	4426.000000	2.192806	190.593314	94.000000	17.000000	0.482035	0.956975	-23.150301	1.196418	12.000000	1.000000	11.000000
2224	24	The turtle was carried by the sheep.wav	2	passive	1	2	119.000000	2841.000000	2722.000000	2.234160	228.671669	96.000000	15.000000	0.335698	1.104784	-17.430120	1.090802	7.000000	2.000000	5.000000
2224	40	The robber shoots the policeman.wav	1	declarative	2	1	519.000000	4860.000000	4341.000000	2.475954	269.521493	11.000000	9.000000	0.614121	1.072911	5.963939	0.013427	5.000000	1.000000	3.000000
2224	11	The princess slaps the prince.wav	1	declarative	2	1	1358.000000	37494.000000	36136.000000	6.755259	260.208504	96.000000	38.000000	0.601871	0.813847	-15.773472	5.454217	18.000000	0.000000	16.000000
2224	81	The elephant was washed by the worker.wav	2	passive	2	1	31.000000	3877.000000	3846.000000	2.913911	183.977976	21.000000	23.000000	0.427384	1.084345	-34.579981	0.479912	9.000000	1.000000	8.000000
2254	48	The hero is killed by the robber.wav	2	passive	2	1	203.000000	1973.000000	1770.000000	1.590330	205.102184	10.000000	5.000000	0.087043	0.960037	-7.978018	0.016747	6.000000	0.000000	4.000000
2254	18	The cat attacks the fireman.wav	1	declarative	1	2	79.000000	2069.000000	1990.000000	2.027687	198.926178	5.000000	11.000000	0.059496	0.585628	-13.432446	0.083578	13.000000	2.000000	10.000000
2254	54	The dog was bitten by the snake.wav	2	passive	1	2	48.000000	1899.000000	1851.000000	2.505753	211.196212	6.000000	4.000000	0.107310	0.673321	-20.327532	0.320866	11.000000	1.000000	10.000000
2254	45	The robber shoots the policeman.wav	1	declarative	2	1	78.000000	1886.000000	1808.000000	2.574169	336.958826	10.000000	13.000000	0.085396	0.544311	31.867115	0.193444	13.000000	3.000000	8.000000
2254	24	The seagull chases the tourist.wav	1	declarative	2	1	99.000000	1679.000000	1580.000000	1.677440	89.088648	11.000000	7.000000	0.127427	1.012847	-1.640481	0.175415	6.000000	1.000000	5.000000
2254	80	The turtle was carried by the sheep.wav	2	passive	1	2	254.000000	2341.000000	2087.000000	1.864983	176.921432	24.000000	11.000000	0.175651	0.938904	7.400237	0.392369	5.000000	2.000000	2.000000
2254	63	The zebra kicks the horse.wav	1	declarative	1	2	104.000000	2789.000000	2685.000000	1.759522	93.696663	96.000000	9.000000	0.206658	0.924418	-5.281550	1.291039	8.000000	1.000000	7.000000
2254	44	The skier was crushed by the snowboard.wav	2	passive	1	2	118.000000	2774.000000	2656.000000	2.428920	247.569456	5.000000	7.000000	0.232472	0.927464	2.380412	0.157757	8.000000	1.000000	6.000000
2254	62	The grandmother finds the grandson.wav	1	declarative	2	1	31.000000	2495.000000	2464.000000	1.725337	151.474287	13.000000	17.000000	0.232627	0.923670	-13.862485	0.106211	10.000000	2.000000	8.000000
2254	23	The bus hits the motorcycle.wav	1	declarative	2	1	47.000000	1838.000000	1791.000000	2.061951	201.361040	5.000000	5.000000	0.104209	0.620771	24.583105	0.278346	8.000000	2.000000	5.000000
2254	71	The fish eats the fisherman.wav	1	declarative	2	1	119.000000	1929.000000	1810.000000	1.732995	107.157869	9.000000	8.000000	0.212862	0.864500	5.961005	0.343230	9.000000	2.000000	7.000000
2254	55	The chef was suprised by the mailman.wav	2	passive	1	2	289.000000	2299.000000	2010.000000	1.980753	162.354771	14.000000	5.000000	0.322460	0.988670	8.313790	0.019440	9.000000	1.000000	8.000000
2254	79	The cloud hides the sun.wav	1	declarative	1	2	118.000000	2279.000000	2161.000000	1.825192	117.642047	5.000000	15.000000	0.225285	0.736183	-3.817473	0.027465	10.000000	2.000000	8.000000
2254	35	The aunt is assisted by her niece.wav	2	passive	2	1	47.000000	2615.000000	2568.000000	2.058807	117.600626	7.000000	11.000000	0.370759	1.626705	-16.462733	0.232177	14.000000	2.000000	11.000000
2254	68	The daughter kisses the king.wav	1	declarative	1	2	117.000000	1547.000000	1430.000000	1.942852	171.832194	7.000000	5.000000	0.206374	0.856496	-5.795130	0.135351	5.000000	1.000000	4.000000
2254	46	The tiger lifts the bear.wav	1	declarative	1	2	74.000000	2511.000000	2437.000000	2.152499	282.272509	3.000000	8.000000	0.168473	0.827237	-1.115012	0.003105	11.000000	1.000000	10.000000
2254	26	The kid tickles the mom.wav	1	declarative	1	2	64.000000	1924.000000	1860.000000	2.336760	229.960588	7.000000	12.000000	0.135108	0.766102	-8.882621	0.370514	8.000000	0.000000	8.000000
2254	81	The puppy was licked by the kitten.wav	2	passive	1	2	103.000000	2143.000000	2040.000000	2.427165	243.014932	11.000000	5.000000	0.206673	0.825531	-9.603575	0.262560	4.000000	0.000000	3.000000
2254	41	The husband was fed by his wife.wav	2	passive	1	2	139.000000	2750.000000	2611.000000	2.107653	156.118944	7.000000	6.000000	0.280976	0.971821	-0.745712	0.184371	8.000000	1.000000	6.000000
